Provider_Name,Address,City,County,Doses_W9
Lhd Angelina County And Cities Health District (Re),503 Hill St Ste 100,Lufkin,ANGELINA,"2,000"
Medical Clinic Of Muleshoe,708 S 1st St,Muleshoe,BAILEY,975
A+ Life Style Medical Group,815 Hwy 71 W,Bastrop,BASTROP,"1,000"
Christus Spohn Health System Beeville,1500 E Houston St,Beeville,BEE,"1,950"
Community Action Health Center,301 S Hillside Dr Ste 5,Beeville,BEE,975
Lhd Bell County Public Health District (Re),820 N 31st Street,Temple,BELL,"3,900"
Samhd Main Immunizations Clinic,210 N Mel Waiters Way,San Antonio,BEXAR,"10,000"
University Health System - Inpatient,4502 Medical Dr,San Antonio,BEXAR,"10,725"
Wellness 360 (Adult),7703 Floyd Curl Dr,San Antonio,BEXAR,"5,850"
Christus St Michael Health System,2600 Saint Michael Dr,Texarkana,BOWIE,"2,000"
Chi St Joseph Health College Station Hospital,1604 Rock Prairie Rd,College Station,BRAZOS,"2,000"
BSW Medical Center Marble Falls,810 Tx-71w,Marble Falls,BURNET,975
Ccdhhs San Benito Nursing Office,1390 W Expressway 83,San Benito,CAMERON,"6,000"
CHAMBERS COUNTY HEALTH DEPT ANAHUAC,102 AIRPORT RD,Anahuac,CHAMBERS,"1,200"
Allen Fire Department,310 Century Pkwy,Allen,COLLIN,"2,000"
City Of Mckinney Fire Department,2200 Taylor Burk Dr,McKinney,COLLIN,"2,000"
Collin County Healthcare Services,825 N Mcdonald St Ste 145,McKinney,COLLIN,"2,700"
Baylor Scott & White Medical Center - Plano,4700 Alliance Blvd,Plano,COLLIN,"3,900"
Coryell Health Medical Clinic,1507 W Main St,Gatesville,CORYELL,975
Coon Memorial Hospital,1411 Denver Ave,Dalhart,DALLAM,975
Baylor University Med Cntr Dallas,3500 Gaston Ave,Dallas,DALLAS,"4,875"
City Of Dallas,650 S Griffin Street,Dallas,DALLAS,"5,000"
LHD Dallas County Health And Human Services (Re),2377 N Stemmons Fwy,Dallas,DALLAS,"9,000"
Parkland Hospital,5200 Harry Hines Blvd,Dallas,DALLAS,"10,725"
UT Southwestern Medical Center,5323 Harry Hines Blvd,Dallas,DALLAS,"10,725"
Lhd Garland (City Of) Health Dept (Re),206 Carver Dr,Garland,DALLAS,"1,000"
LHD Denton County Public Health (RE),535 S. Loop 288,Denton,DENTON,"9,750"
Dimmit Regional Hospital,704 Hospital Dr,Carrizo Springs,DIMMIT,975
Medical Center Hospital,400 W 4th,Odessa,ECTOR,"3,900"
City of El Paso Fire Department,301 George Perry,El Paso,EL PASO,"6,000"
