Provider_Name,Address,City,County,"Doses_W15"
Lhd Angelina County And Cities Health District (Re),503 Hill St Ste 100,Lufkin,ANGELINA,"2,000"
Medical Clinic Of Muleshoe,708 S 1st St,Muleshoe,BAILEY,"1,170"
A+ Life Style Medical Group,815 Hwy 71 W,Bastrop,BASTROP,"2,000"
Christus Spohn Health System Beeville,1500 E Houston St,Beeville,BEE,"2,340"
Community Action Health Center,301 S Hillside Dr Ste 5,Beeville,BEE,"1,000"
Lhd Bell County Public Health District (Re),820 N 31st Street,Temple,BELL,"7,020"
Samhd Main Immunizations Clinic,210 N Mel Waiters Way,San Antonio,BEXAR,"13,170"
University Health System - Inpatient,4502 Medical Dr,San Antonio,BEXAR,"12,870"
Wellness 360 (Adult),7703 Floyd Curl Dr,San Antonio,BEXAR,"7,020"
Christus St Michael Health System,2600 Saint Michael Dr,Texarkana,BOWIE,"2,340"
Chi St Joseph Health College Station Hospital,1604 Rock Prairie Rd,College Station,BRAZOS,"5,000"
BSW Medical Center Marble Falls,810 Tx-71w,Marble Falls,BURNET,"1,170"
Ut Health Rgv Multispecialty,2106 Treasure Hills Blvd Ste 1.326,Harlingen,CAMERON,"1,170"
Ccdhhs San Benito Nursing Office,1390 W Expressway 83,San Benito,CAMERON,"6,000"
CHAMBERS COUNTY HEALTH DEPT ANAHUAC,102 AIRPORT RD,Anahuac,CHAMBERS,"1,200"
Allen Fire Department,310 Century Pkwy,Allen,COLLIN,"4,000"
City Of Mckinney Fire Department,2200 Taylor Burk Dr,McKinney,COLLIN,"4,000"
Collin County Healthcare Services,825 N Mcdonald St Ste 145,McKinney,COLLIN,"11,700"
Baylor Scott & White Medical Center - Plano,4700 Alliance Blvd,Plano,COLLIN,"11,700"
Coryell Health Medical Clinic,1507 W MAIN ST,Gatesville,CORYELL,"1,170"
Coon Memorial Hospital,1411 Denver Ave,Dalhart,DALLAM,"1,170"
Baylor University Med Cntr Dallas,3500 Gaston Ave,Dallas,DALLAS,"5,850"
City Of Dallas,650 S Griffin Street,Dallas,DALLAS,"5,000"
LHD Dallas County Health And Human Services (Re),2377 N Stemmons Fwy,Dallas,DALLAS,"11,000"
Parkland Hospital,5200 Harry Hines Boulevard,Dallas,DALLAS,"14,770"
UT Southwestern Medical Center,5323 Harry Hines Blvd,Dallas,DALLAS,"12,870"
Lhd Garland (City Of) Health Dept (Re),206 Carver Dr,Garland,DALLAS,"1,000"
Dimmit Regional Hospital,704 Hospital Dr,Carrizo Springs,DIMMIT,"1,170"
Medical Center Hospital,500 W 4th St,Odessa,ECTOR,"2,340"
City of El Paso Fire Department,301 George Perry,El Paso,EL PASO,"6,000"
University Medical Center of El Paso,4815 Alameda Ave,El Paso,EL PASO,"5,850"
Baylor Scott And White Medical Center - Waxahachie,2400 N. I-35e,Waxahachie,ELLIS,"4,680"
Falls Community Hospital & Clinic,322 Coleman St,Marlin,FALLS,"1,170"
Tmc Bonham Hospital,504 Lipscomb St,Bonham,FANNIN,"1,170"
LHD FORT BEND COUNTY HEALTH DEPARTMENT (HHS) (RE),4520 Reading Rd,Rosenberg,FORT BEND,"10,530"
University Of Texas Medical Branch Hospital,301 University Blvd,Galveston,GALVESTON,"8,190"
LHD Galveston County Health District (RE),9850 B Emmett F Lowry EXpy,Texas City,GALVESTON,"5,000"
Hill Country Memorial Hospital,1020 S State Highway 16,Fredericksburg,GILLESPIE,"1,200"
CHRISTUS Good Shepherd Medical Center Longview,700 E Marshall Ave,Longview,GREGG,"5,850"
Chi St Lukes Health,6720 Bertner Ave,Houston,HARRIS,"2,340"
HCPH Main Office,2223 West Loop South,Houston,HARRIS,"10,000"
Houston Health Department Immunization Bureau,8000 N Stadium Dr,Houston,Harris,"10,000"
Houston Methodist Hospital,6565 Fannin St,Houston,HARRIS,"17,550"
