Provider_Name,Address,City,County,Doses_W8
Medical Clinic Of Muleshoe,708 S 1st St,Muleshoe,BAILEY,975
A+ Life Style Medical Group,815 Hwy 71 W,Bastrop,BASTROP,"1,000"
Christus Spohn Health System Beeville,1500 E Houston St,Beeville,BEE,"1,950"
Community Action Health Center,301 S Hillside Dr Ste 5,Beeville,BEE,975
Lhd Bell County Public Health District (Re),820 N 31st Street,Temple,BELL,"3,900"
Samhd Main Immunizations Clinic,210 N Mel Waiters Way,San Antonio,BEXAR,"10,000"
University Health System - Inpatient,4502 Medical Dr,San Antonio,BEXAR,"10,725"
Wellness 360 (Adult),7703 Floyd Curl Dr,San Antonio,BEXAR,"5,850"
Chi St Joseph Health College Station Hospital,1604 Rock Prairie Rd,College Station,BRAZOS,"5,000"
BSW Medical Center Marble Falls,810 Tx-71w,Marble Falls,BURNET,975
Ccdhhs San Benito Nursing Office,1390 W Expressway 83,San Benito,CAMERON,"6,000"
CHAMBERS COUNTY HEALTH DEPT ANAHUAC,102 AIRPORT RD,Anahuac,CHAMBERS,"1,200"
Clay County Memorial Hospital,310 W South St,Henrietta,CLAY,975
Allen Fire Department,310 Century Pkwy,Allen,COLLIN,"7,800"
City Of Mckinney Fire Department,2200 Taylor Burk Dr,McKinney,COLLIN,"7,800"
Collin County Healthcare Services,825 N Mcdonald St Ste 145,McKinney,COLLIN,"9,750"
Baylor Scott & White Medical Center - Plano,4700 Alliance Blvd,Plano,COLLIN,"9,750"
Coryell Health Medical Clinic,1507 W Main St,Gatesville,CORYELL,975
Coon Memorial Hospital,1411 Denver Ave,Dalhart,DALLAM,975
Baylor University Med Cntr Dallas,3500 Gaston Ave,Dallas,DALLAS,"4,875"
City Of Dallas,650 S Griffin Street,Dallas,DALLAS,"4,875"
LHD Dallas County Health And Human Services (Re),2377 N Stemmons Fwy,Dallas,DALLAS,"9,000"
Parkland Hospital,5200 Harry Hines Blvd,Dallas,DALLAS,"11,700"
UT Southwestern Medical Center,5323 Harry Hines Blvd,Dallas,DALLAS,"11,700"
Lhd Garland (City Of) Health Dept (Re),206 Carver Dr,Garland,DALLAS,"1,000"
LHD Denton County Public Health (RE),535 S. Loop 288,Denton,DENTON,"32,475"
Dimmit Regional Hospital,704 Hospital Dr,Carrizo Springs,DIMMIT,975
Medical Center Hospital,400 W 4th,Odessa,ECTOR,"3,900"
City of El Paso Fire Department,301 George Perry,El Paso,EL PASO,"5,000"
University Medical Center of El Paso,4815 Alameda Ave,El Paso,EL PASO,"8,775"
Falls Community Hospital & Clinic,322 Coleman St,Marlin,FALLS,975
Tmc Bonham Hospital,504 Lipscomb St,Bonham,FANNIN,975
LHD FORT BEND COUNTY HEALTH DEPARTMENT (HHS) (RE),4520 Reading Rd,Rosenberg,FORT BEND,"9,750"
University Of Texas Medical Branch Hospital,301 University Blvd,Galveston,GALVESTON,"4,875"
LHD Galveston County Health District (RE),9850 B Emmett F Lowry EXpy,Texas City,GALVESTON,"1,000"
Hill Country Memorial Hospital,1020 S State Highway 16,Fredericksburg,GILLESPIE,"1,200"
CHRISTUS Good Shepherd Medical Center Longview,700 E Marshall Ave,Longview,GREGG,"2,925"
Chi St Lukes Health,6720 Bertner Ave,Houston,HARRIS,"1,950"
HCPH Main Office,2223 West Loop South,Houston,HARRIS,"9,000"
Houston Health Department Immunization Bureau,8000 N Stadium Dr,Houston,HARRIS,"9,000"
Houston Methodist Hospital,6565 Fannin St,Houston,HARRIS,"13,650"
Memorial Hermann Memorial City Medical Center,921 Gessner Rd,Houston,HARRIS,"4,875"
School Of Nursing - Main Building,1851 Crosspoint Ave.,Houston,HARRIS,"3,900"
Lhd Hays County Health Department (Re),401 Broadway St Ste A,San Marcos,HAYS,"1,950"
Doctors Hospital at Renaissance,5501 South McColl Road,Edinburg,HIDALGO,"6,825"
Lhd Hidalgo County Health Department (Re),1304 S 25th Ave,Edinburg,HIDALGO,"5,000"
Ut Health Rgv Employee Health Edinburg,1210 W Schunior St,Edinburg,HIDALGO,975
UTHEALTH RGV Family Health,2810 W. Expressway 83,Mercedes,HIDALGO,975
Lhd Jasper-Newton Co Phealth Dist (Re),139 W Lamar St,Jasper,JASPER,"1,600"
Jefferson County Immunization Clinic,7933 Viterbo Rd Ste 100,Beaumont,JEFFERSON,"1,950"
Christus Spohn Health System Alice,2500 E Main St,Alice,JIM WELLS,975
Christus Spohn Health System Kleberg,1311 General Cavazos Blvd,Kingsville,KLEBERG,975
Kleberg County Sheriff's Office,1500 East King,Kingsville,KLEBERG,"1,000"
La Salle County Regional Health Authority,247 Mars Drive,Cotulla,LA SALLE,975
"Emergency Hospital Systems, LLC",300 E Crockett,Cleveland,LIBERTY,975
Lhd Lubbock City Health Dept (Re),806 18th St,Lubbock,LUBBOCK,"8,000"
Eagle Pass Fire Department,2558 El Indio Hwy,Eagle Pass,MAVERICK,"1,200"
Lhd Waco-Mclennan Co Phealth Dist (Re),225 W Waco Dr,Waco,MCLENNAN,"1,500"
Providence Health - Providence Health Center,6901 Medical Pkwy,Waco,MCLENNAN,"1,950"
Midland Memorial Hospital,400 Rosalind Redfern Grover Pkwy,Midland,MIDLAND,"4,875"
CHI ST LUKES HEALTH WOODLANDS HOSP,17200 ST LUKES WAY,Conroe,MONTGOMERY,"3,900"
Lone Star Family Health Center,605 S. Conroe Medical Dr,Conroe,MONTGOMERY,"2,000"
LHD Corsicana-Navarro Public Health District (RE),618 N Main,Corsicana,NAVARRO,"1,500"
Driscoll Health System,3533 S. Alameda,Corpus Christi,NUECES,975
LHD Corpus Christi-Nueces County Public Health District (RE) 1702 Horne Road,,Corpus Christi,NUECES,"5,000"
Parker County Hospital District,1130 Pecan Dr,Weatherford,PARKER,"1,950"
LHD Amarillo DOH,1000 Martin Rd,Amarillo,POTTER,"6,000"
Pecos Valley Rural Health Clinic,2335 S Pigman St,Pecos,REEVES,975
Lhd Nethealth (Re),815 N Broadway Ave,Tyler,SMITH,"2,450"
UT Health Science Center Tyler,11937 Us Highway 271,Tyler,SMITH,"1,950"
Arlington Fire Department,620 W Division St.,Arlington,TARRANT,"7,000"
Tarrant Co Ph Imm Outreach,1101 S Main St Ste 1350,Fort Worth,TARRANT,"9,000"
Texas Health Medical Support,1100 Bridgewood,Fort Worth,TARRANT,"9,750"
Hendrick Medical Center,1900 Pine St,Abilene,TAYLOR,"2,925"
Shannon Pharmacy,119 E. Beauregard Ave,San Angelo,TOM GREEN,"1,950"
Austin Public Health,15 Waller Street,Austin,TRAVIS,"12,000"
Ut Health Austin (Dell Medical School),1601 Trinity Avenue,Austin,TRAVIS,"1,950"
Uvalde Memorial Hospital,1025 Garner Field Rd.,Uvalde,UVALDE,975
Victoria County Public Health Department,2805 N Navarro,Victoria,VICTORIA,"2,000"
Washington County Ems,1875 Highway 290 W,Brenham,WASHINGTON,"4,000"
City Of Laredo Health Department,2600 Cedar Ave,Laredo,WEBB,"5,000"
Family Emergency Rooms Cedar Park,3620 E. WHITESTONE BLVD.,Cedar Park,WILLIAMSON,"8,000"
ADDITIONAL PROVIDERS,,,,
Palestine Regional Medical Center,2900 S Loop 256,Palestine,ANDERSON,500
Lhd Angelina County And Cities Health District (Re),503 Hill St Ste 100,Lufkin,ANGELINA,700
Heb Pharmacy 562,1409 Highway 35 N,Rockport,ARANSAS,200
Eagle Pharmacy - Holiday,700 S. College Ave,Holliday,ARCHER,200
Claude Family Medical Clinic,201 Parks St,Claude,ARMSTRONG,200
DSHS Bellville Clinic,602 E Hacienda St,Bellville,AUSTIN,200
Dshs Bandera,702 Buck Creek Rd,Bandera,BANDERA,300
Bastrop Family Practice,275 Jackson St,Bastrop,BASTROP,100
Communitycare- Ob/Gyn Bastrop,301 Highway 71 W Ste 111,Bastrop,BASTROP,200
Seymour Hospital Rural Health Clinic,201 Stadium Dr,Seymour,BAYLOR,200
Communicare Health Centers West,1102 Barclay St,San Antonio,BEXAR,200
Dshs HSR 8 Hq - San Antonio (Re),7430 Louis Pasteur Dr,San Antonio,BEXAR,500
San Antonio State Supported Living Center,6711 SOUTH NEW BRAUNFELS AVE,San Antonio,BEXAR,200
North Blanco County Ems,105 Bill Watson Dr,Johnson City,BLANCO,300
